Time	ShoulderCenter - Head - Spine	Spine - ShoulderCenter - HipCenter	ElbowRight - WristRight - ShoulderRight	ShoulderRight - ShoulderCenter - ElbowRight	KneeRight - AnkleRight - HipRight	HipRight - HipCenter - KneeRight	ShoulderRight - ShoulderLeft - ElbowRight	ElbowLeft - WristLeft - ShoulderLeft	ShoulderLeft - ShoulderCenter - ElbowLeft	KneeLeft - AnkleLeft - HipLeft	HipLeft - HipCenter - KneeLeft	ShoulderLeft - ShoulderRight - ElbowLeft
c	c	c	c	c	c	c	c	c	c	c	c	c
m												
1.80000000	171.345916751407	139.450955408128	162.981973951280	161.164251119653	178.614391252559	133.093210679971	158.610518788890	160.015504731929	153.972324789038	175.859457568894	133.539762846672	164.175145237775
1.83333300	171.350972657164	139.307788966575	164.178436557207	159.760657168510	178.649008732784	133.277835597778	161.244931348934	156.815376496086	156.589276094007	175.893716213406	133.598957071769	163.421933133442
1.86666700	171.299964830242	139.278951375290	164.608698130978	159.272285637314	178.662768369065	133.285670848740	161.798816440006	158.498605624091	154.245443995431	175.925904615669	133.679953112251	165.572738100560
1.90000000	171.417501418261	139.061778119966	165.365749726802	158.502014535968	178.716998766380	133.513364447603	163.194179540131	159.002908434269	155.067639625676	176.014189092802	133.669181248666	165.949589594683
1.93333300	171.353146946483	139.025109091816	166.363033817301	157.598617583738	178.725721374577	133.610088738833	164.350329843395	159.523409679500	153.969210454729	176.106588007816	133.722948017993	167.144018637353
1.96666700	171.640151617763	138.874793277406	165.173813495279	156.685846207843	178.736183304345	133.638327433995	165.806430671324	161.326344687312	152.849368819162	176.242965258910	133.529983261519	169.036570244898
2.00000000	171.563617449083	138.731087960123	166.542928839007	155.190851437711	178.796144868373	133.014503515203	167.564849693741	160.679925835617	152.922339584204	176.235111154894	133.875297184770	169.517142347508
2.03333300	171.479309037024	138.756728447974	166.394434637140	154.042559449457	178.797122285289	133.107026867826	168.880620612445	161.743376239563	152.648782668695	176.292642485964	133.818136532129	170.270998617818
2.06666700	171.521630207643	138.761349347381	165.732791501769	153.079079557245	178.761072695798	133.130469166593	169.884708105272	161.603799653825	151.760938182784	176.312515530699	133.692454938981	171.027604371987
2.10000000	171.560000532696	138.770641451250	167.185866974997	151.916823478339	178.767217644525	133.132344274607	171.150316169387	160.637706765763	151.509272590352	176.344442864903	133.705537503995	171.616571158220
2.13333300	171.655684279268	138.793257726321	167.409341882174	151.163604223233	178.758536581056	133.146868237225	171.887711498097	162.253495963810	150.419721156962	176.375119986886	133.630701973602	172.734361595095
2.16666700	171.677011784281	138.789461863678	169.312058241514	148.852733466281	178.752161833709	133.149957277989	174.337935097131	163.063877663613	150.113662576628	176.336046676179	133.510067110790	173.332431354266
2.20000000	171.713609454243	138.771749392296	170.286930826706	147.753470560286	178.721200749475	133.181921994319	175.568170998290	164.504875040190	149.324206624473	176.347208395316	133.513055821875	174.385568561462
